"Date","Utility/Power Pool (NERC Council)","Time","Area","Type of Disturbance","Loss (megawatts)","Number of Customers Affected","Restoration Time"
"1/23/00","Duke Power Co. (SERC)","8:00 a.m.","South Carolina","Ice Storm","450","133,000","12:00 p.m. Jan 28"
"1/29/00","Duke Power Co. (SERC)","10:00 p.m.","South Carolina","Ice Storm","300","81,000","12:00 p.m. Feb 3"
"1/24/00","Carolina Power & Light (SERC)","7:00 p.m.","North Carolina & Northern South Carolina","Ice Storm","960","173,000","NA"
"3/14/00","Alliant Energy (MAIN)","9:06 p.m.","Maine","Vandalism","NA","NA","NA"
"3/18/00","El Paso Elec. Co. (MAIN)","4:00 p.m.","Texas","Transmission Line Loss","400","100,000","5:10 p.m. Mar 18"
"3/18/00","Public Service of New Mexico (WSCC)","7:08 p.m.","New Mexico","Transmission Line Loss","1,040","500,000","7:08 p.m. Mar 18"
"4/1/00","City of LakeWorth Utils (FRCC)","NA","Texas","Transformer Faulted","46","40,000-45,000","NA"
"4/1/00","Virginia Power & Electrical Co. (SERC)","NA","Virginia","Relay Malfunction & Fire","143","37,000","NA"
"4/20/00","Independence Electricity Market Operator (NPCC)","NA","NA","Suspected Sabotage","None","None","NA"
"5/2/00","Reliant Energy HL&P (ERCOT)","4:00 a.m.","Houston, TX","Severe Weather","NA","238,000","12:00 p.m. May 2"
"5/8/00","Connectiv Power Delivery (MAAC)","NA","Delaware","Energy Conservation","NA","NA","NA"
"5/9/00","Consolidated Edison Co. of New York (NPCC)","11:39 a.m.","New York","Energy Conservation","NA","NA","11:00 p.m. May 9"
"5/18/00","Commonwealth Edison (MAIN)","6:00 p.m.","Illinois","Severe Weather High Wind","NA","101,830","NA"
"5/21/00","Duke Power (SERC)","NA","North Carolina","Thunder/Lightning","150-200","50,000","May 22"
"5/24/00","Entergy (SPP)","10:15 a.m.","Texas","Voltage Elec Usage","None","Approx. 2 million","10:14 p.m. May 25"
"5/25/00","Duke Power (SERC)","10:00 a.m.","North Carolina","Severe Weather","450-500","Approx. 100,000","6:00 a.m. June 2"
"5/31/00","Arizona Public Serv Co. (WSCC)","1:15 a.m.","Arizona","Vandalism","None","None","NA"
"6/14/00","Calif. Indep. System Operator (WSCC)","1:13 p.m.","California","Generating Resources Loss","130","32,000","NA"
"6/14/00","American Electric Power (ECAR)","3:45 p.m.","Ohio","Relay Trouble","294","None","NA"
"6/14/00","Tucson Electric Power (WSCC)","3:54 p.m.","Arizona","Tripped Lines Fire","138","40,911","5:00 p.m. June 14"
"6/28/00","Virginia Power/North Carolina Power (SERC)","5:52 p.m.","Virginia & North Carolina","Line Outages/Switch Fire","175","30,500","7:14 p.m. June 28"
"7/3/00","Alaska Elec Light & Power (ASCC)","NA","Alaska","B-phase to ground fault","35","14,273","NA"
"7/20/00","Alabama Power Co (SERC)","NA","Alabama","High winds and thunder","None","160,000","NA"
"8/6/00","Commonwealth Edison (MAIN)","4:00 p.m.","Illinois","Severe weather","None","239,567","12:00 p.m. August 7"
"8/9/00","Cinergy Corp (ECAR)","6:30 p.m.","Ohio","Severe weather","None","92,000","11:59 p.m. August 7"
"8/10/00","Alabama Power Co (SERC)","9:30 p.m.","Alabama","Severe weather","None","75,000","6:00 p.m. August 11"
"8/10/00","Commonwealth Edison Co. (MAIN)","NA","Illinois","Circuit failure/fire","NA","11,000","NA"
"8/18/00","Duke Power (SERC)","6:30 p.m.","North Carolina","Severe weather","500","130,000","12:00 p.m. August 20"
"8/28/00","Southern Indiana Gas & Elec (ECAR)","11:00 p.m.","Indiana","Tripped line","15","124,000","August 28"
"12/16/00","Alabama Power Co. (SERC)","11:36 a.m.","Geneva, Southeast Alabama","Tornado","NA","60,000","6:00 p.m. December 18"
